hotel_id,room_id,name,amenities
B-30716,RB-94603,Deluxe Family,
B-90704,RB-17331,Run of House,
B-05650,RB-59535,Classic Comfort,Telephone|Air conditioning|Desk|Trash can|Fridge|Telephone|Air conditioning|Desk|Trash can|Fridge
B-07645,RB-40770,"Executive Suite, King",
B-42407,RB-19292,"Quadruple Room, Bathtub",
B-26785,RB-72434,"Executive Suite, 1 Double or 1 King, 1 Bedroom, Balcony",
B-94470,RB-04105,"Executive, Twin, Balcony",Attached washroom|Blanket|Fan|Attached washroom|Blanket|Fan
B-71505,RB-97442,Run of House,
B-29999,RB-32253,"Garden Suite, 1 Double or 1 Twin",
B-78918,RB-17508,"Deluxe, View",
B-42728,RB-17961,Deluxe,
B-21871,RB-44333,"Standard, Club Lounge Access",
B-62232,RB-64150,"Deluxe, Twin",
B-07645,RB-53330,"Standard, Double or King",
B-18084,RB-69364,"Studio, Double or Queen",
B-48222,RB-89636,Run of House,
B-30419,RB-75562,"Premier, King, Single Use",Room Size 20 sqm|Wheelchair-accessible|Wi-fi|Number of bedrooms|Double bed 131-150 width
B-04926,RB-77633,"Deluxe, Single Use",
B-19744,RB-99376,Run of House,
B-65054,RB-23915,"Twin Room, Garden View, Lounge Access",Lounge
B-67542,RB-62721,Standard Room,
B-21871,RB-38398,DoubleOrTwin Room,
B-83007,RB-08010,Run of House,
B-49586,RB-44450,"Standard, Double",Attached washroom|Blanket|Water bottle|Fan|Toiletries|WiFi access|Safe|Shower|TV|Clothes rack|Clothes rack|Hangers|Hangers|Housekeeping|Housekeeping|Mirror|Mirror|Mosquito net|Mosquito net|Cushions|Cushions|Dental kit|Dental kit|Towels|Towels|Desk|Desk|Trash can|Air conditioning|Attached washroom|Blanket|Water bottle|Fan|Toiletries|WiFi access|Safe|Shower|TV|Trash can|Wardrobe/closet|Wardrobe/closet|Air conditioning
B-45601,RB-78174,Run of House,
B-66831,RB-65491,Deluxe Superior Double Room,Electric kettle|Satellite TV service|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Blackout drapes/curtains|Minibar|Wardrobe or closet|Coffee/tea maker|Daily housekeeping|Minibar|Free WiFi|Wardrobe or closet|Phone|Coffee/tea maker|Desk|Daily housekeeping|No cribs (infant beds)|Free WiFi|Towels provided|Phone|Bedsheets provided|Desk|No cribs (infant beds)|Towels provided|Bedsheets provided|Non-Smoking|Hardwood flooring in room|Desk chair|Premium bedding|Electric kettle|Satellite TV service|Soundproofed rooms|Change of bed sheets (on request)|Laptop-friendly workspace|Blackout drapes/curtains|Connecting/adjoining rooms available|LED TV|Toilet paper|Shower only|Connecting/adjoining rooms available|Wireless internet access|LED TV|Visual fire alarm|Toilet paper|Shampoo|Shower only|TV size measurement: inch|Wireless internet access|Slippers|Visual fire alarm|Private bathroom|Shampoo|TV size measurement: inch|Slippers|Private bathroom|Bathrobes|Free toiletries|Hair dryer|Air conditioning|Bathrobes|TV size: 48|Free toiletries|Iron/ironing board|Hair dryer|Housekeeping on request|Air conditioning|In-room safe|TV size: 48|Free bottled water|Iron/ironing board|Free newspaper|Housekeeping on request|In-room safe|Free bottled water|Free newspaper|Non-Smoking|Hardwood flooring in room|Desk chair|Premium bedding
B-90969,RB-21159,Classic,Attached washroom|Fan|Flat-screen TV|Attached washroom|Fan|Flat-screen TV
B-55016,RB-32287,King Room,
B-57040,RB-51395,Suite,Electric kettle|Dental kit|TV|Blanket|Blackout curtains|Toilet paper|Clothes rack|Shower|Room service|Fan|Dental kit|Cushions|TV|Towels|Blanket|Toiletries|Blackout curtains|Soundproof|Toilet paper|Sofa|Clothes rack|Iron|Shower|Room service|Fan|Cushions|Desk|Safe|Mirror|Housekeeping|Minibar|Laundry|Hangers|Heating|Charging points|Electric kettle|Telephone|Conditioner|Attached washroom|Air conditioning|Towels|Hairdryer|Toiletries|Interconnecting room(s) available|Soundproof|Water bottle|Sofa|Sanitizers|Iron|Trash can|Telephone|Wardrobe/closet|Conditioner|Attached washroom|Air conditioning|Hairdryer|Interconnecting room(s) available|Water bottle|Sanitizers|Trash can|Wardrobe/closet|Desk|Safe|Mirror|Housekeeping|Minibar|Laundry|Hangers|Heating|Charging points
B-01834,RB-04679,"Premium, Twin",
B-97411,RB-85915,"Deluxe, 1 Bed, Single Use",
B-58163,RB-21062,"Business, 1 Bed, Garden View",
B-54709,RB-06432,"Junior Suite, 1 Double or 1 King",
B-91047,RB-08224,Run of House,
B-40061,RB-78955,"Standard Family, Double or Queen",
B-97483,RB-40494,"Business, King",
B-23652,RB-67058,"Horizon, Twin, Horizon/Panoramic View",
B-97411,RB-95562,Premium Double Room,Air conditioning|Free WiFi|Iron/ironing board|Flat-panel TV|No rollaway/extra beds|No cribs (infant beds)|Iron/ironing board|Flat-panel TV|No rollaway/extra beds|No cribs (infant beds)|WiFi speed - 25+ Mbps|Towels provided|Non-Smoking|Television|Wireless internet access|Private bathroom|WiFi speed - 25+ Mbps|Towels provided|Non-Smoking|Television|Wireless internet access|Private bathroom|Ceiling fan|Daily housekeeping|Air conditioning|Free WiFi|Ceiling fan|Daily housekeeping
B-28071,RB-50601,Executive Suite,Water bottle|WiFi access|Charging points|Hangers|Housekeeping|Cushions|Dustbin|Toilet paper|Toothbrush|Towels|Cushions|Flat-screen TV|Dustbin|Linens|Toilet paper|Toothbrush|Towels|Flat-screen TV|Linens|Accessible by elevator|Attached washroom|Blanket|Accessible by elevator|Attached washroom|Blanket|Fan|Shower|Water bottle|WiFi access|Charging points|Hangers|Housekeeping|Fan|Shower
B-58886,RB-05387,Run of House,
B-96990,RB-98683,"Deluxe, Double or Twin",Cable TV service|Desk|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Cable TV service|Towels provided|Non-Smoking|Television|Soap|Toilet paper|Shower only|Wireless internet access|Shampoo|Laptop-friendly workspace|Satellite TV service|Slippers|Laptop-friendly workspace|In-room climate control (air conditioning)|Slippers|Private bathroom|In-room climate control (air conditioning)|Wardrobe or closet|Private bathroom|Coffee/tea maker|Wardrobe or closet|Hair dryer|Coffee/tea maker|Daily housekeeping|Hair dryer|Free WiFi|Change of towels (on request)|WiFi speed - 100+ Mbps (good for 1–2 people or up to 6 devices)|Towels provided|Non-Smoking|Television|Soap|Toilet paper|Shower only|Wireless internet access|Shampoo|Satellite TV service|Daily housekeeping|Free WiFi|Separate sitting area|Change of towels (on request)|Desk|Separate sitting area
B-23652,RB-19660,"Standard, Twin",
B-66831,RB-02957,"Club, Double, City View",
B-96714,RB-47078,Quadruple Room,
B-31061,RB-00322,"Executive Suite, 1 Double or 1 King, Balcony",
B-83516,RB-51592,"Executive, Twin",Housekeeping|Mirror|Cushions|Dustbin|Toothbrush|Towels|Cable channels|Linens|Dustbin|Toothbrush|Towels|Cable channels|Linens|Attached washroom|Room service|Shower|TV|Water bottle|Attached washroom|Room service|Shower|TV|Water bottle|Charging points|Hangers|Housekeeping|Mirror|Cushions|Charging points|Hangers
B-17889,RB-08683,"Double Room, Club Lounge Access",Lounge
B-20712,RB-79130,Standard Room,Shower|Smoking policy – smoking available|TV|Clothes rack|Hangers|Housekeeping|Mirror|Sanitizers|Smoke detector|Cushions|Minibar|Bathroom phone|Safe|Dental kit|Shower|Geyser|Smoking policy – smoking available|Shower cap|TV|Towels|Clothes rack|Telephone|Hangers|Housekeeping|Mirror|Sanitizers|Air conditioning|Attached washroom|Blanket|Water bottle|Desk|Fan|Toiletries|WiFi access|Ironing facilities|Laundry|Coffee machine|Charging points|Trash can|Wardrobe/closet|Smoke detector|Cushions|Bathroom phone|Dental kit|Geyser|Shower cap|Towels|Telephone|Coffee machine|Charging points|Trash can|Wardrobe/closet|Air conditioning|Attached washroom|Blanket|Water bottle|Desk|Fan|Toiletries|WiFi access|Ironing facilities|Laundry|Minibar|Safe
B-41052,RB-13646,"Premier, Double or King, Pool View",
B-66440,RB-09418,Run of House,
B-01834,RB-25705,"Premium, Single Use",
B-61259,RB-56500,Run of House,
B-63282,RB-46863,"Room, Single Use",
B-80285,RB-01625,Run of House,
B-75366,RB-60283,"Standard, Double, Single Use",
B-51601,RB-82488,Classic,Dental kit|Trash can|Fridge|Wardrobe/closet|Air conditioning|Dental kit|Attached washroom|Fridge|Blanket|Water bottle|Desk|Toiletries|WiFi access|Laundry|Sofa|Shower|TV|Smoking policy – smoking available|Clothes rack|Sofa|Hangers|TV|Housekeeping|Clothes rack|Mirror|Hangers|Cushions|Housekeeping|Bathroom phone|Mirror|Towels|Telephone|Air conditioning|Attached washroom|Blanket|Water bottle|Desk|Toiletries|WiFi access|Laundry|Shower|Smoking policy – smoking available|Cushions|Bathroom phone|Trash can|Towels|Wardrobe/closet|Telephone
B-95838,RB-66792,Run of House,
B-17889,RB-46583,"Deluxe, Single, Garden View",
B-32983,RB-66955,Run of House,
B-53779,RB-31314,"Luxury, 2 Twin",
B-81188,RB-17863,"Regency, Double",Turndown service|Iron/ironing board (on request)|Lowered locks/deadbolt|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|TV size: 32|Rainfall showerhead|Pillowtop mattress|In-room safe|Soundproofed rooms|LCD TV|Laptop-friendly workspace|Free bottled water|Refrigerator|Wardrobe or closet|Free wired internet|Coffee/tea maker|Number of days between towel changes: 2|Soap|Ceiling fan|Toothbrush and toothpaste available|Daily housekeeping|Doorbell/telephone notification|Toilet paper|Shower only|Shampoo|Visual doorbell/knocker notification|Down comforter|Wheelchair accessible|Air conditioning|Doorway wheelchair width (inches) - 36|Wheelchair-width doorways|Doorway wheelchair width (centimeters) - 91|Hand-held showerhead|Electric kettle|Satellite TV service|Blackout drapes/curtains|Desk|WiFi speed - 25+ Mbps|Premium TV channels|Cable/satellite TV service|Rollaway/extra beds (surcharge)|Pay movies|Free newspaper|Room service (limited hours)|Non-Smoking|Television|Height-adjustable showerhead|Turndown service|Iron/ironing board (on request)|Pillowtop mattress|Soundproofed rooms|Laptop-friendly workspace|Refrigerator|Wardrobe or closet|Free wired internet|Coffee/tea maker|Number of days between towel changes: 2|Ceiling fan|Daily housekeeping|Number of days between bed sheet changes: 2|Free WiFi|Individually furnished|Phone|High-speed internet access|Free local calls|Towels provided|Hair dryer (on request)|Bedsheets provided|Day bed|Lowered locks/deadbolt|Wireless internet access|TV size measurement: inch|Private bathroom|Free toiletries|TV size: 32|Rainfall showerhead|In-room safe|LCD TV|Free bottled water|Doorway wheelchair width (inches) - 36|Wheelchair-width doorways|Doorway wheelchair width (centimeters) - 91|Hand-held showerhead|Electric kettle|Satellite TV service|Blackout drapes/curtains|Desk|WiFi speed - 25+ Mbps|Premium TV channels|Soap|Toothbrush and toothpaste available|Doorbell/telephone notification|Toilet paper|Shower only|Shampoo|Visual doorbell/knocker notification|Down comforter|Wheelchair accessible|Air conditioning|Number of days between bed sheet changes: 2|Free WiFi|Individually furnished|Phone|High-speed internet access|Free local calls|Towels provided|Cable/satellite TV service|Hair dryer (on request)|Rollaway/extra beds (surcharge)|Bedsheets provided|Pay movies|Day bed|Free newspaper|Room service (limited hours)|Non-Smoking|Television|Height-adjustable showerhead
B-46489,RB-99615,Run of House,
B-35713,RB-27947,"Premium, 1 Bed, Lake View, Single Use",
B-01262,RB-72666,"Deluxe, Double",Phone|Desk|Restaurant dining guide|Towels provided|Hair dryer (on request)|Premium TV channels|Bedsheets provided|Soap|Toilet paper|Shower only|Bidet|Shampoo|Phone|Toothbrush and toothpaste available on request|Desk|TV size measurement: inch|Restaurant dining guide|Private bathroom|Towels provided|Free toiletries|Hair dryer (on request)|Rollaway/extra beds (free)|Premium TV channels|Bedsheets provided|Soap|Toilet paper|Fan|Television|Smoking and Non-Smoking|Turndown service|Iron/ironing board (on request)|Laptop-friendly workspace|Wardrobe or closet|Free wired internet|Daily housekeeping|Free WiFi|Rainfall showerhead|In-room safe|Flat-panel TV|Cable TV service|Shower only|Free newspaper|Shampoo|Room service (limited hours)|Toothbrush and toothpaste available on request|TV size measurement: inch|Private bathroom|Free toiletries|Rollaway/extra beds (free)|Rainfall showerhead|In-room safe|Flat-panel TV|Cable TV service|Free newspaper|Room service (limited hours)|Fan|Television|Smoking and Non-Smoking|Turndown service|Iron/ironing board (on request)|Laptop-friendly workspace|Wardrobe or closet|Free wired internet|Daily housekeeping|Free WiFi|Bidet
B-80883,RB-93904,Standard Room,Desk|Fan|Toiletries|Room service|Shower|TV|WiFi access|Hangers|Housekeeping|Mirror|Hangers|Trash can|Housekeeping|Toilet paper|Mirror|Towels|Trash can|Flat-screen TV|Toilet paper|Wardrobe/closet|Towels|Dental kit|Flat-screen TV|Wardrobe/closet|Dental kit|Attached washroom|Attached washroom|Blanket|Water bottle|Desk|Fan|Toiletries|Room service|Shower|TV|WiFi access|Blanket|Water bottle
B-11210,RB-96137,Run of House,
B-67890,RB-94584,Ambassador Suite,
B-40438,RB-45522,"Superior, Single",
B-61697,RB-48595,"Standard, King",
B-58352,RB-47829,Run of House,
B-51601,RB-80065,Run Of House,Minibar|Desk|Trash can|Wardrobe/closet|Dental kit|Fridge|Trash can|Wardrobe/closet|Dental kit|Fridge|Hairdryer|Private bathroom|Toiletries|Satellite channels|Air conditioning|Soundproof|Hairdryer|Private bathroom|Toiletries|Satellite channels|Air conditioning|Soundproof|Tea/coffee maker|Water bottle|Minibar|Desk|Tea/coffee maker|Water bottle
